,Episode,Best score so far,Eval score,"Eval, g: 0.5: mean_agg","Eval, g: 0.5: std_agg","Eval, g: 0.5: mean_C0","Eval, g: 0.5: mean_C1","Eval, g: 0.5: std_C0","Eval, g: 0.5: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,54.67147352743351,54.67147352743351,54.67147352743351,54.67147352743351,44622.83219335523,40.69243598816667,2145.34918563516,3.403448607963388,0.64854496717453,1.2921829223632812,38782.787972488186,61.09530727846,60.38056746422093
1,100,41.528054504248715,41.528054504248715,41.528054504248715,41.528054504248715,45476.83596555501,13.091745984566664,2861.0324869004558,2.801922444194003,0.2070664018392563,1.1022132635116577,44489.052583527155,35.40885722696,51.92677675465473
2,150,41.528054504248715,45.55018558287839,45.55018558287839,45.55018558287839,52482.96240004358,10.357352088766667,2394.084773246056,1.5172018043265778,0.22544875741004944,1.4076220989227295,47921.22328678236,46.34925639330001,60.03710764802106
