fra;jour;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2021-07-05;22;21;43;6850;5413;12281;89;3245280.60813097
FR;2021-07-05;7;7;14;3056;1290;4349;90;912580.606272853
FR;2021-07-05;2317;2222;4578;196903;174169;373878;0;67114995
FR;2021-07-06;73;64;140;6486;7338;14164;09;7763205.6862729
FR;2021-07-06;373;370;754;27253;24730;52734;19;8336486.16053724
FR;2021-07-06;585;607;1197;28702;22938;51858;29;7476787.18780411
FR;2021-07-06;341;362;708;25851;20896;46902;39;8295371.93193955
FR;2021-07-06;240;235;476;22118;19395;41648;49;8592886.15993015
FR;2021-07-06;155;149;304;17181;15758;33029;59;8792674.76801071
FR;2021-07-06;91;64;156;11602;11455;23115;69;8004082.76030424
FR;2021-07-06;32;38;70;8223;8460;16704;79;5695639.13079729
FR;2021-07-06;31;16;47;5602;4267;9881;89;3245280.60813097
FR;2021-07-06;8;4;12;2716;1069;3788;90;912580.606272853
FR;2021-07-06;1929;1909;3866;155784;136386;293959;0;67114995
FR;2021-07-07;84;81;167;6542;7202;14053;09;7763205.6862729
FR;2021-07-07;432;407;846;29253;26461;56468;19;8336486.16053724
FR;2021-07-07;715;757;1476;32790;26300;59308;29;7476787.18780411
FR;2021-07-07;368;422;792;28517;24037;52764;39;8295371.93193955
FR;2021-07-07;290;225;516;23907;21438;45481;49;8592886.15993015
FR;2021-07-07;195;171;368;17472;16520;34074;59;8792674.76801071
FR;2021-07-07;97;86;185;10744;10648;21445;69;8004082.76030424
FR;2021-07-07;47;44;93;6816;6822;13659;79;5695639.13079729
FR;2021-07-07;22;18;40;4813;3618;8439;89;3245280.60813097
FR;2021-07-07;20;6;26;2460;1035;3498;90;912580.606272853
FR;2021-07-07;2270;2219;4511;163365;144154;309315;0;67114995
FR;2021-07-08;75;68;146;6846;7254;14397;09;7763205.6862729
FR;2021-07-08;466;379;850;37466;33537;71855;19;8336486.16053724
FR;2021-07-08;758;816;1579;42050;35066;77568;29;7476787.18780411
FR;2021-07-08;372;443;820;33124;29147;62515;39;8295371.93193955
FR;2021-07-08;264;233;498;26839;25215;52238;49;8592886.15993015
FR;2021-07-08;183;145;329;19268;18269;37634;59;8792674.76801071
FR;2021-07-08;78;74;152;10592;10216;20865;69;8004082.76030424
FR;2021-07-08;47;44;92;5784;5637;11441;79;5695639.13079729
FR;2021-07-08;18;17;35;4025;2772;6807;89;3245280.60813097
FR;2021-07-08;13;7;20;2183;819;3010;90;912580.606272853
FR;2021-07-08;2275;2226;4522;188229;167995;358453;0;67114995
FR;2021-07-09;91;96;192;8614;9054;18072;09;7763205.6862729
FR;2021-07-09;540;461;1007;49715;44599;95476;19;8336486.16053724
FR;2021-07-09;750;845;1603;58343;52202;111463;29;7476787.18780411
FR;2021-07-09;403;487;897;39743;35911;76056;39;8295371.93193955
FR;2021-07-09;286;241;528;32465;29981;62669;49;8592886.15993015
FR;2021-07-09;209;193;402;23684;21834;45670;59;8792674.76801071
FR;2021-07-09;110;103;215;13477;13148;26700;69;8004082.76030424
FR;2021-07-09;56;67;123;8085;8263;16374;79;5695639.13079729
FR;2021-07-09;36;21;57;4842;3873;8723;89;3245280.60813097
FR;2021-07-09;11;5;16;2084;924;3015;90;912580.606272853
FR;2021-07-09;2492;2519;5040;241130;219871;464384;0;67114995
FR;2021-07-10;83;64;150;5965;6609;12901;09;7763205.6862729
FR;2021-07-10;378;367;751;36310;32016;69476;19;8336486.16053724
FR;2021-07-10;510;554;1071;47629;42894;92294;29;7476787.18780411
FR;2021-07-10;283;314;600;28178;25728;54529;39;8295371.93193955
FR;2021-07-10;195;185;381;22594;21128;43946;49;8592886.15993015
FR;2021-07-10;161;146;307;15803;15090;31008;59;8792674.76801071
FR;2021-07-10;70;62;134;9251;8997;18290;69;8004082.76030424
FR;2021-07-10;25;34;60;5871;5987;11877;79;5695639.13079729
FR;2021-07-10;17;10;27;3491;2798;6299;89;3245280.60813097
FR;2021-07-10;13;4;17;1528;675;2204;90;912580.606272853
FR;2021-07-10;1738;1742;3503;176677;162000;342974;0;67114995
FR;2021-07-11;17;23;40;1388;1541;3016;09;7763205.6862729
FR;2021-07-11;136;94;233;8047;6729;15272;19;8336486.16053724
FR;2021-07-11;202;188;398;13561;10941;26236;29;7476787.18780411
FR;2021-07-11;101;118;222;7560;7072;15224;39;8295371.93193955
FR;2021-07-11;71;73;145;5238;5221;10601;49;8592886.15993015
FR;2021-07-11;45;48;93;3500;3863;7411;59;8792674.76801071
FR;2021-07-11;18;28;46;2192;2450;4660;69;8004082.76030424
FR;2021-07-11;13;17;30;1594;1918;3517;79;5695639.13079729
FR;2021-07-11;12;8;20;1587;1203;2790;89;3245280.60813097
FR;2021-07-11;6;1;7;912;402;1314;90;912580.606272853
FR;2021-07-11;621;600;1236;45604;41357;90090;0;67114995
FR;2021-07-12;134;155;293;6926;7479;14746;09;7763205.6862729
FR;2021-07-12;862;803;1679;36238;32841;70058;19;8336486.16053724
FR;2021-07-12;1279;1354;2647;44863;36281;81826;29;7476787.18780411
FR;2021-07-12;754;783;1547;35454;30911;66793;39;8295371.93193955
FR;2021-07-12;522;504;1028;29832;27076;57245;49;8592886.15993015
FR;2021-07-12;355;346;702;22730;21015;43950;59;8792674.76801071
FR;2021-07-12;165;171;336;13606;13187;26875;69;8004082.76030424
FR;2021-07-12;84;65;150;8380;8658;17069;79;5695639.13079729
FR;2021-07-12;51;37;88;5618;4239;9870;89;3245280.60813097
FR;2021-07-12;17;9;26;2857;1106;3966;90;912580.606272853
FR;2021-07-12;4223;4229;8498;206558;182854;392519;0;67114995
FR;2021-07-13;159;148;317;6283;6815;13345;09;7763205.6862729
FR;2021-07-13;926;833;1778;37271;32577;70814;19;8336486.16053724
FR;2021-07-13;1449;1531;2996;52298;44119;97588;29;7476787.18780411
FR;2021-07-13;706;784;1498;35547;31601;67527;39;8295371.93193955
FR;2021-07-13;446;470;919;28398;26686;55260;49;8592886.15993015
FR;2021-07-13;345;337;686;21820;20175;42119;59;8792674.76801071
FR;2021-07-13;151;140;291;13478;13145;26684;69;8004082.76030424
FR;2021-07-13;66;66;132;8742;8702;17473;79;5695639.13079729
FR;2021-07-13;47;30;77;5841;4155;10004;89;3245280.60813097
FR;2021-07-13;23;6;29;2895;1139;4039;90;912580.606272853
FR;2021-07-13;4319;4346;8728;212657;189185;405021;0;67114995
FR;2021-07-14;44;33;79;1454;1560;3115;09;7763205.6862729
FR;2021-07-14;231;182;421;10130;8222;19054;19;8336486.16053724
FR;2021-07-14;513;563;1089;18117;15192;35124;29;7476787.18780411
FR;2021-07-14;188;246;439;9341;9087;18861;39;8295371.93193955
FR;2021-07-14;129;128;261;6380;6690;13172;49;8592886.15993015
FR;2021-07-14;71;66;138;4391;4784;9238;59;8792674.76801071
FR;2021-07-14;26;29;55;2506;2825;5359;69;8004082.76030424
FR;2021-07-14;22;22;44;1836;2086;3932;79;5695639.13079729
FR;2021-07-14;13;10;23;1723;1327;3051;89;3245280.60813097
FR;2021-07-14;3;5;8;1021;425;1448;90;912580.606272853
FR;2021-07-14;1241;1284;2558;56928;52216;112416;0;67114995
FR;2021-07-15;169;179;353;7042;7563;14880;09;7763205.6862729
FR;2021-07-15;1326;1170;2523;43710;39367;84191;19;8336486.16053724
FR;2021-07-15;2214;2417;4653;53835;47255;102360;29;7476787.18780411
FR;2021-07-15;1168;1279;2463;40573;37993;79071;39;8295371.93193955
FR;2021-07-15;777;690;1475;32470;31102;63832;49;8592886.15993015
FR;2021-07-15;533;498;1037;23582;21995;45713;59;8792674.76801071
FR;2021-07-15;253;215;468;13352;12393;25812;69;8004082.76030424
FR;2021-07-15;101;104;205;7555;7153;14747;79;5695639.13079729
FR;2021-07-15;51;34;85;5066;3542;8620;89;3245280.60813097
FR;2021-07-15;21;10;31;2998;1073;4085;90;912580.606272853
FR;2021-07-15;6615;6598;13298;230252;209513;443474;0;67114995
FR;2021-07-16;178;227;414;7644;8438;16437;09;7763205.6862729
FR;2021-07-16;1307;1213;2562;49096;44670;95105;19;8336486.16053724
FR;2021-07-16;2063;2270;4371;65795;60017;127599;29;7476787.18780411
FR;2021-07-16;1021;1119;2152;42272;40420;83323;39;8295371.93193955
FR;2021-07-16;685;676;1368;32998;30905;64182;49;8592886.15993015
FR;2021-07-16;495;429;928;24088;22375;46629;59;8792674.76801071
FR;2021-07-16;266;180;451;14172;13452;27702;69;8004082.76030424
FR;2021-07-16;97;101;198;8510;8460;16994;79;5695639.13079729
FR;2021-07-16;58;47;105;5483;4015;9510;89;3245280.60813097
FR;2021-07-16;25;13;38;2651;1032;3688;90;912580.606272853
FR;2021-07-16;6198;6278;12594;252783;233855;491325;0;67114995
FR;2021-07-17;138;162;307;5816;6267;12363;09;7763205.6862729
FR;2021-07-17;1036;911;1973;37468;33100;72130;19;8336486.16053724
FR;2021-07-17;1723;1848;3612;53750;49340;106006;29;7476787.18780411
FR;2021-07-17;773;864;1657;29637;28757;59217;39;8295371.93193955
FR;2021-07-17;513;458;976;22127;21198;43642;49;8592886.15993015
FR;2021-07-17;326;346;677;16252;15952;32344;59;8792674.76801071
FR;2021-07-17;157;155;316;10008;9708;19782;69;8004082.76030424
FR;2021-07-17;83;76;160;6331;6491;12851;79;5695639.13079729
FR;2021-07-17;34;32;66;3771;2882;6661;89;3245280.60813097
FR;2021-07-17;8;9;17;1454;684;2139;90;912580.606272853
FR;2021-07-17;4793;4862;9764;186674;174444;367283;0;67114995
FR;2021-07-18;43;60;106;1442;1636;3155;09;7763205.6862729
FR;2021-07-18;297;281;590;8777;7651;16912;19;8336486.16053724
FR;2021-07-18;597;619;1242;15943;14919;32172;29;7476787.18780411
FR;2021-07-18;269;316;591;8114;8115;16606;39;8295371.93193955
FR;2021-07-18;149;151;302;5192;5353;10632;49;8592886.15993015
FR;2021-07-18;103;92;195;3638;3830;7508;59;8792674.76801071
FR;2021-07-18;52;53;105;2227;2504;4752;69;8004082.76030424
FR;2021-07-18;27;32;59;1635;1826;3465;79;5695639.13079729
FR;2021-07-18;20;15;35;1674;1274;2950;89;3245280.60813097
FR;2021-07-18;7;4;11;939;415;1354;90;912580.606272853
FR;2021-07-18;1564;1623;3236;49599;47542;99551;0;67114995
FR;2021-07-19;374;360;742;7039;7490;14791;09;7763205.6862729
FR;2021-07-19;2151;2037;4228;38013;33931;72885;19;8336486.16053724
FR;2021-07-19;3786;4097;7949;52677;44140;97888;29;7476787.18780411
FR;2021-07-19;1910;2049;3978;39651;34246;74335;39;8295371.93193955
FR;2021-07-19;1353;1163;2526;32468;28011;60725;49;8592886.15993015
FR;2021-07-19;947;782;1736;25418;22123;47705;59;8792674.76801071
FR;2021-07-19;473;381;856;17016;15932;33026;69;8004082.76030424
FR;2021-07-19;199;184;384;11281;11249;22567;79;5695639.13079729
FR;2021-07-19;101;74;175;7369;5434;12811;89;3245280.60813097
FR;2021-07-19;54;14;68;3674;1397;5082;90;912580.606272853
FR;2021-07-19;11353;11143;22650;234675;204024;441967;0;67114995
FR;2021-07-20;327;317;653;5729;6286;12238;09;7763205.6862729
FR;2021-07-20;1931;1775;3748;33636;29178;63622;19;8336486.16053724
FR;2021-07-20;3583;3940;7587;54927;46959;102879;29;7476787.18780411
FR;2021-07-20;1832;1848;3697;41405;34771;76644;39;8295371.93193955
FR;2021-07-20;1108;983;2102;30969;26328;57571;49;8592886.15993015
FR;2021-07-20;794;652;1453;22757;19475;42377;59;8792674.76801071
FR;2021-07-20;394;295;693;14515;12934;27529;69;8004082.76030424
FR;2021-07-20;183;170;353;9358;8949;18341;79;5695639.13079729
FR;2021-07-20;105;63;168;6272;4485;10769;89;3245280.60813097
FR;2021-07-20;42;14;56;3519;1205;4730;90;912580.606272853
FR;2021-07-20;10304;10058;20516;223136;190630;416816;0;67114995
FR;2021-07-21;317;348;686;6021;6418;12717;09;7763205.6862729
FR;2021-07-21;2105;1895;4057;39667;34384;75273;19;8336486.16053724
FR;2021-07-21;4066;4406;8548;72376;63500;137938;29;7476787.18780411
FR;2021-07-21;1923;2026;3984;56207;47999;105219;39;8295371.93193955
FR;2021-07-21;1142;983;2137;38861;34091;73488;49;8592886.15993015
FR;2021-07-21;821;666;1489;26402;21869;48545;59;8792674.76801071
FR;2021-07-21;391;324;718;15203;13055;28383;69;8004082.76030424
FR;2021-07-21;195;160;357;8643;7946;16634;79;5695639.13079729
FR;2021-07-21;89;75;164;5771;3956;9747;89;3245280.60813097
FR;2021-07-21;39;23;62;3406;1244;4652;90;912580.606272853
FR;2021-07-21;11090;10909;22209;272632;234531;512760;0;67114995
FR;2021-07-22;328;349;689;6091;6574;12911;09;7763205.6862729
FR;2021-07-22;1938;1780;3769;38878;35894;76106;19;8336486.16053724
FR;2021-07-22;3390;3744;7214;66807;59611;128362;29;7476787.18780411
FR;2021-07-22;1695;1823;3544;54573;48384;104049;39;8295371.93193955
FR;2021-07-22;1167;1004;2183;38303;35555;74415;49;8592886.15993015
FR;2021-07-22;850;648;1502;25247;22259;47791;59;8792674.76801071
FR;2021-07-22;410;304;716;13114;11499;24724;69;8004082.76030424
FR;2021-07-22;149;156;307;6921;6276;13246;79;5695639.13079729
FR;2021-07-22;116;66;182;5151;3177;8334;89;3245280.60813097
FR;2021-07-22;58;16;74;3430;1143;4583;90;912580.606272853
FR;2021-07-22;10105;9892;20187;258595;230457;494703;0;67114995
FR;2021-07-23;438;397;859;8625;8969;17952;09;7763205.6862729
FR;2021-07-23;2215;2003;4263;56283;52428;110272;19;8336486.16053724
FR;2021-07-23;3532;3826;7429;98657;91325;192697;29;7476787.18780411
FR;2021-07-23;1733;2061;3816;79991;73499;154919;39;8295371.93193955
FR;2021-07-23;1204;1106;2319;55524;52925;109206;49;8592886.15993015
FR;2021-07-23;903;726;1634;34519;31121;65997;59;8792674.76801071
FR;2021-07-23;402;355;758;17792;15802;33715;69;8004082.76030424
FR;2021-07-23;193;166;362;9348;8671;18077;79;5695639.13079729
FR;2021-07-23;99;74;173;5797;4033;9849;89;3245280.60813097
FR;2021-07-23;57;27;84;3103;1163;4269;90;912580.606272853
FR;2021-07-23;10780;10747;21708;369742;340029;717174;0;67114995
