0.984573326	0.014471324	0.000955349
0.979262872	0.019521086	0.001216042
0.975640147	0.022895364	0.001464489
0.959604946	0.037721119	0.002673935
0.929878213	0.064818157	0.00530363
0.900204513	0.09084146	0.008954027
0.87400473	0.112436272	0.013558998
0.848095835	0.132323764	0.019580401
0.808105732	0.162162017	0.029732252
0.766006455	0.190709946	0.0432836
0.709554917	0.226839766	0.063605318
0.621750412	0.280712893	0.097536695
0.52653292	0.330745757	0.142721323
0.435314602	0.367255235	0.197430163
0.347837006	0.390047309	0.262115684
0.217575772	0.364116133	0.418308095
